company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
"AI, FinTech startup Senso",,AI,Series A,funding,"AI, FinTech startup Senso raises $4 million CAD to further fuel US expansion",,$4M,2020-07-08,Saroop Bharwani,CEO,betakit.com,https://betakit.com/ai-fintech-startup-senso-raises-4-million-cad-to-further-fuel-us-expansion/,Raised a $4M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
DevOps Automation Platform Zeet,,DevOps,Seed,funding,DevOps Automation Platform Zeet Raises $4.3M Seed Funding Led by Sequoia Capital with Participation from Race Capital,,$4.3M,2022-09-05,said Johnny Dallas,founder,finance.yahoo.com,https://finance.yahoo.com/news/devops-automation-platform-zeet-raises-132900845.html,Raised a $4.3M Seed round for a DevOps platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Facets.cloud,,DevOps,Seed,funding,Facets.cloud Raises $4 Million in Seed Funding to Revolutionize DevOps,,$4M,2023-09-04,says Pravanjan Choudhury,founder,newswire.ca,https://www.newswire.ca/news-releases/facets-cloud-raises-4-million-in-seed-funding-to-revolutionize-devops-891435412.html,Raised a $4M Seed round for a DevOps platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
DevOps platform Codezero,,Cybersecurity,Seed,funding,DevOps platform Codezero raises $3.5-million seed round,,$3.5M,2024-03-13,Thomas Dohmke,CEO,betakit.com,https://betakit.com/devops-platform-codezero-raises-3-5-million-seed-round/,Raised a $3.5M Seed round for a Cybersecurity platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Fintech Startup Flex,,Fintech,Seed,funding,Fintech Startup Flex Raises Seed Round to Help DTC Consumer Health and Wellness Brands Accept HSA and FSA Payments Online,,$150B,2024-09-03,Managing Partner and,Founder,finance.yahoo.com,https://finance.yahoo.com/news/fintech-startup-flex-raises-seed-130000787.html,Raised a $150B Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Opsera,,AI,Series A,funding,"Opsera Raises $20M to Drive AI-Powered DevOps Platform Innovation, Accelerating AI Agent Adoption and Developer Efficiency",,$20M,2025-04-02,of Opsera,,newswire.ca,https://www.newswire.ca/news-releases/opsera-raises-20m-to-drive-ai-powered-devops-platform-innovation-accelerating-ai-agent-adoption-and-developer-efficiency-831857080.html,Raised a $20M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
IgniteData,,Data,Series A,funding,IgniteData Raises Series A to Accelerate Global Site Network Expansion and Clinical Trial Data Automation,,,2025-08-13,said Zach Taft,CEO,finance.yahoo.com,https://finance.yahoo.com/news/ignitedata-raises-series-accelerate-global-100000053.html,Announced a Series A round for a Data platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
SRE.ai,,AI,Seed,funding,"SRE.ai Raises $7.2 Million Seed Round to Redefine Enterprise DevOps for the AI Era, Backed by Salesforce Ventures and Crane Venture Partners",,$7.2M,2025-08-19,said Raj Kadiyala,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/sre-ai-raises-7-2-130000121.html,Raised a $7.2M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Reveal HealthTech,,AI,Series A,funding,Reveal HealthTech raises $7.2M Series A led by Leo Capital to power the next wave of AI-driven healthcare,,$7.2M,2025-09-03,Founder and,CEO,newswire.ca,https://www.newswire.ca/news-releases/reveal-healthtech-raises-7-2m-series-a-led-by-leo-capital-to-power-the-next-wave-of-ai-driven-healthcare-830179814.html | https://finance.yahoo.com/news/reveal-healthtech-raises-7-2m-160000300.html | https://www.theglobeandmail.com/investing/markets/markets-news/Newswire.ca/34574025/reveal-healthtech-raises-7-2m-series-a-led-by-leo-capital-to-power-the-next-wave-of-ai-driven-healthcare/,Raised a $7.2M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
"DianaHR, Founded by Ex-Gusto Engineering Lead",,AI,Seed,funding,"DianaHR, Founded by Ex-Gusto Engineering Lead, Raises Seed Round to Bring HR-as-a-Service to SMBs",,$3.7M,2025-09-14,percent Upeka Bee,Founder,finance.yahoo.com,https://finance.yahoo.com/news/dianahr-founded-ex-gusto-engineering-130100467.html,Raised a $3.7M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Lifeguard,,AI,Seed,funding,Lifeguard Announces Seed Funding from ScOp Venture Capital to Redefine Digital Safety for Consumers and Their Families,,$1.3M,2025-09-22,From the,Founder,finance.yahoo.com,https://finance.yahoo.com/news/lifeguard-announces-seed-funding-scop-153700057.html,Raised a $1.3M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
ConCntric,,AI,Series A,funding,ConCntric Raises Series A to Transform Preconstruction with AI-Powered Platform,,$10M,2025-10-06,Founder and,CEO,finance.yahoo.com,https://finance.yahoo.com/news/concntric-raises-series-transform-preconstruction-140000877.html,Raised a $10M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Nudge Security,,AI,Series A,funding,Nudge Security Raises $22.5M Series A to Secure Workforce AI and SaaS,,$22.5M,2025-11-17,said Russell Spitler,Co-Founder,finance.yahoo.com,https://finance.yahoo.com/news/nudge-security-raises-22-5m-130000269.html,Raised a $22.5M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Lakefusion,,AI,Seed,funding,Lakefusion Raises Seed Funding For AI-Powered Data Management On Databricks Lakehouse,,,2025-11-18,said Vikas Punna,Founder,finance.yahoo.com,https://finance.yahoo.com/news/lakefusion-raises-seed-funding-ai-162200534.html,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Corma,,AI,Seed,funding,Corma Announces €3.5M Seed Round to Revolutionize Software License and Access Governance,,,2025-12-07,says Corma,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/corma-announces-3-5m-seed-135700428.html,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Voxira AI Agent Developer Secai,,AI,Series A,funding,Voxira AI Agent Developer Secai Raises $6.2M Series A to Scale Healthcare Automation,,$6.2M,2026-02-10,Ragui Ibrahim,President,thespec.com,https://www.thespec.com/globenewswire/voxira-ai-agent-developer-secai-raises-6-2m-series-a-to-scale-healthcare-automation/article_2396c78d-f770-5a4a-80bd-ac1013e9f50a.html,Raised a $6.2M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Kris@Work,,AI,Seed,funding,Kris@Work raises $3M seed funding led by Infoedge Ventures to build the new AI-native GTM execution platform,,$3M,2026-02-23,The founding team includes,co-founder,finance.yahoo.com,https://finance.yahoo.com/news/kris-raises-3m-seed-funding-170000163.html,Raised a $3M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Zenskar,,AI,Series A,funding,Zenskar Raises $15 Million Series A to Expand Agentic Capabilities for B2B Revenue Automation,,$15M,2026-04-16,said Apurv Bansal,CEO,morningstar.com,https://www.morningstar.com/news/business-wire/20260416872552/zenskar-raises-15-million-series-a-to-expand-agentic-capabilities-for-b2b-revenue-automation,Raised a $15M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
AI Fintech Seapoint,,AI,Seed,funding,AI Fintech Seapoint Raises €7.5M in Seed Funding,,,2026-04-22,Des Traynor,co-founder,crowdfundinsider.com,https://www.crowdfundinsider.com/2026/04/274938-ai-fintech-seapoint-raises-e7-5m-in-seed-funding/,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Estro Tech Robotics,,AI,Seed,funding,Estro Tech Robotics raises ₹1 crore seed round led by Genrobotics Innovations,,,2026-06-05,ece Copy Estro Tech Robotics,founder,thehindubusinessline.com,https://www.thehindubusinessline.com/info-tech/estro-tech-robotics-raises-1-crore-seed-round-led-by-genrobotics-innovations/article71065054.ece,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Niteshift,,AI,Seed,funding,Niteshift raises $7M seed round to challenge Big AI lock-in,,$7M,2026-06-10,product stage where the,founder,cryptobriefing.com,https://cryptobriefing.com/niteshift-7m-seed-ai-lock-in/,Raised a $7M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
