company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Physical Superintelligence,,AI,Seed,funding,Physical Superintelligence Raises $58M Seed Round,,$58M,2026-09-01,said CEO and,Co-founder,unite.ai,https://www.unite.ai/physical-superintelligence-raises-58m-seed-round/,Raised a $58M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-03,High
Light,,HR Tech,Series A,funding,Light Raises $46 Million Series A Led By Matrix,,$46M,2026-09-01,Baker Shogry,Co-Founder,pulse2.com,https://pulse2.com/light-raises-46-million-series-a-led-by-matrix/,Raised a $46M Series A round for a HR Tech platform. This signals active growth and potential need for content and marketing.,90,2026-09-03,High
Airlift Co-Founder Usman Gul’s AI Startup Metal,,AI,Seed,funding,Airlift Co-Founder Usman Gul’s AI Startup Metal Raises $4.5M Seed,,$4.5M,2026-09-02,founded by Airlift,co-founder,techjuice.pk,https://www.techjuice.pk/metal-usman-gul-ai-startup-seed-funding/,Raised a $4.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-03,High
Airlift Co-Founder’s AI Startup Metal,,AI,Seed,funding,Airlift Co-Founder’s AI Startup Metal Raises $4.5 Million,,$4.5M,2026-09-02,founded by Airlift co,founder,propakistani.pk,https://propakistani.pk/2026/09/02/airlift-co-founders-ai-startup-metal-raises-4-5-million/,Raised a $4.5M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-03,High
AI sales startup Clay,,AI,Series A,funding,AI sales startup Clay raises funding at a $7 billion valuation,,$7B,2026-09-02,who serves as,,wionews.com,https://www.wionews.com/world/ai-sales-startup-clay-raises-funding-at-a-7-billion-valuation-1788291286322,Raised a $7B Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-09-03,High
Fleksy,,AI,Series A,funding,Fleksy raises Series A to expand its keyboard SDK biz after 10x growth,,$1.6M,2021-10-28,,,finance.yahoo.com,https://finance.yahoo.com/news/fleksy-raises-series-expand-keyboard-130014570.html,Raised a $1.6M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-03,High
Logistics startup OORJAA,,AI,Series A,funding,Logistics startup OORJAA raises Series A funding led by Equentis Angel Fund,,,2026-08-27,,,entrackr.com,https://entrackr.com/snippets/logistics-startup-oorjaa-raises-series-a-funding-led-by-equentis-angel-fund-12444247,Announced a Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-03,High
Plenti,,Fintech,Seed,funding,"Plenti raises $3M from Tether, Verda Ventures to expand in Latin America",,$3M,2026-09-01,,,cryptobriefing.com,https://cryptobriefing.com/plenti-raises-3m-tether-latin-america/,Raised a $3M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,80,2026-09-03,High
Vancouver’s Mundo,,AI,Series A,funding,Vancouver’s Mundo Raises $20M to Help AI Perceive the Real World,,$20M,2026-09-02,,,techcouver.com,https://techcouver.com/2026/09/02/mundo-raises-20m-to-help-ai-perceive-the-real-world/,Raised a $20M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-09-03,High
Deals in brief: Bioactivx,,AI,Pre-Seed,funding,"Deals in brief: Bioactivx raises pre-Series A funding, SMBC and Singtel Innov8 back fileAI, latest China investments, and more",,,2026-08-31,and Peili Teo,co-founder,kr-asia.com,https://kr-asia.com/deals-in-brief-bioactivx-raises-pre-series-a-funding-smbc-and-singtel-innov8-back-fileai-latest-china-investments-and-more,Announced a Pre-Seed round for a AI platform. This signals active growth and potential need for content and marketing.,70,2026-09-03,Low
